Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,
Definition,0,file_id,serial_number,1,,time_created,1,,manufacturer,1,,product,1,,number,1,,unknown,1,,type,1,,
Data,0,file_id,serial_number,"3478404119",,time_created,"1093336500",,manufacturer,"1",,garmin_product,"4394",,number,"126",,type,"32",,,,,
Definition,1,device_info,timestamp,1,,serial_number,1,,manufacturer,1,,product,1,,software_version,1,,,,,,,,
Data,1,device_info,timestamp,"1093336500",s,serial_number,"3478404119",,manufacturer,"1",,garmin_product,"4394",,software_version,"16.11",,,,,,,,
Definition,2,software,version,1,,,,,,,,,,,,,,,,,,,,
Data,2,software,version,"6.0",,,,,,,,,,,,,,,,,,,,
Definition,3,unknown,unknown,1,,unknown,1,,unknown,1,,,,,,,,,,,,,,
Data,3,unknown,unknown,"0",,unknown,"0",,unknown,"200",,,,,,,,,,,,,,
Definition,4,monitoring_info,timestamp,1,,local_timestamp,1,,cycles_to_distance,2,,cycles_to_calories,2,,unknown,2,,resting_metabolic_rate,1,,activity_type,2,,unknown,1,,
Data,4,monitoring_info,timestamp,"1093336500",s,local_timestamp,"1093343700",s,cycles_to_distance,"1.7622|2.6432",m/cycle,cycles_to_calories,"0.0982|0.3092",kcal/cycle,unknown,"10450|10450",,resting_metabolic_rate,"2837",kcal / day,activity_type,"6|1",,,,,
Definition,5,unknown,unknown,25,,,,,,,,,,,,,,,,,,,,,,,
Data,5,unknown,unknown,"228|253|42|65|0|2|0|224|230|0|0|192|205|1|0|0|0|0|0|0|0|0|0|0|0",,,,,,,,,,,,,,,,,,,,,,,
Data,5,unknown,unknown,"228|253|42|65|0|3|0|255|255|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0",,,,,,,,,,,,,,,,,,,,,,,
Definition,6,monitoring,timestamp,1,,distance,1,,cycles,1,,active_time,1,,active_calories,1,,duration_min,1,,activity_type,1,,,,,
Data,6,monitoring,timestamp,"1093336500",s,distance,"0.0",m,cycles,"0.0",cycles,active_time,"60.0",s,active_calories,"4",kcal,duration_min,"635",min,activity_type,"0",,,,,
Data,6,monitoring,timestamp,"1093336500",s,distance,"1790.42",m,steps,"2032",cycles,active_time,"2044.0",s,active_calories,"106",kcal,duration_min,"635",min,activity_type,"6",,,,,
Definition,7,monitoring,timestamp,1,,unknown,1,,unknown,1,,,,,,,,,,,,,,,,,
Data,7,monitoring,timestamp,"1093336500",s,unknown,"7671",,unknown,"0",,,,,,,,,,,,,,,,,
Definition,0,monitoring,timestamp,1,,unknown,1,,unknown,1,,,,,,,,,,,,,,,,,
Data,0,monitoring,timestamp,"1093336500",s,unknown,"0",,unknown,"0",,,,,,,,,,,,,,,,,
Definition,1,monitoring_hr_data,timestamp,1,,resting_heart_rate,1,,current_day_resting_heart_rate,1,,,,,,,,,,,,,,,,,
Data,1,monitoring_hr_data,timestamp,"1093336500",s,resting_heart_rate,"53",bpm,current_day_resting_heart_rate,"50",bpm,,,,,,,,,,,,,,,,
Definition,2,ohr_settings,timestamp,1,,enabled,1,,,,,,,,,,,,,,,,,,,,
Data,2,ohr_settings,timestamp,"1093336500",s,enabled,"1",,,,,,,,,,,,,,,,,,,,
Definition,3,event,timestamp,1,,data16,1,,event,1,,event_type,1,,,,,,,,,,,,,,
Data,3,event,timestamp,"1093336548",s,data16,"200",,event,"78",,event_type,"3",,data,"200",,,,,,,,,,,
Definition,4,monitoring,timestamp,1,,current_activity_type_intensity,1,,,,,,,,,,,,,,,,,,,,
Data,4,monitoring,timestamp,"1093336500",s,current_activity_type_intensity,"9",,activity_type,"9",,intensity,"0.0",,,,,,,,,,,,,,
Data,5,unknown,unknown,"228|253|42|65|0|3|0|255|255|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0",,,,,,,,,,,,,,,,,,,,,,,
Data,5,unknown,unknown,"228|253|42|65|0|3|0|255|255|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0",,,,,,,,,,,,,,,,,,,,,,,
Data,5,unknown,unknown,"228|253|42|65|2|2|102|0|8|5|5|0|1|1|1|1|1|5|5|5|5|5|17|3|0",,,,,,,,,,,,,,,,,,,,,,,
Data,5,unknown,unknown,"228|253|42|65|2|2|6|8|11|5|5|0|0|0|0|1|2|5|6|6|6|6|1|5|22",,,,,,,,,,,,,,,,,,,,,,,
Definition,5,monitoring,cycles,1,,active_time,1,,timestamp_16,1,,current_activity_type_intensity,1,,,,,,,,,,,,,,
Data,5,monitoring,steps,"2043",cycles,active_time,"2056.0",s,timestamp_16,"65008",s,current_activity_type_intensity,"38",,activity_type,"6",,intensity,"1.0",,,,,,,,
Definition,6,monitoring,timestamp_16,1,,heart_rate,1,,,,,,,,,,,,,,,,,,,,
Data,6,monitoring,timestamp_16,"65068",s,heart_rate,"0",bpm,,,,,,,,,,,,,,,,,,,
Definition,7,stress_level,stress_level_time,1,,stress_level_value,1,,unknown,1,,unknown,1,,unknown,1,,,,,,,,,,,
Data,7,stress_level,stress_level_time,"1093336680",s,stress_level_value,"-1",,unknown,"101",,unknown,"68",,unknown,"2",,,,,,,,,,,
Definition,0,respiration_rate,timestamp,1,,respiration_rate,1,,,,,,,,,,,,,,,,,,,,
Data,0,respiration_rate,timestamp,"1093336680",,respiration_rate,"0.0",breaths/min,,,,,,,,,,,,,,,,,,,
Data,4,monitoring,timestamp,"1093336680",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,,,,
Data,7,stress_level,stress_level_time,"1093336740",s,stress_level_value,"-1",,unknown,"101",,unknown,"68",,unknown,"2",,,,,,,,,,,
Data,0,respiration_rate,timestamp,"1093336740",,respiration_rate,"0.0",breaths/min,,,,,,,,,,,,,,,,,,,
Data,7,stress_level,stress_level_time,"1093336800",s,stress_level_value,"-1",,unknown,"101",,unknown,"68",,unknown,"2",,,,,,,,,,,
Data,0,respiration_rate,timestamp,"1093336800",,respiration_rate,"0.0",breaths/min,,,,,,,,,,,,,,,,,,,
Data,4,monitoring,timestamp,"1093336800",s,current_activity_type_intensity,"168",,activity_type,"8",,intensity,"5.0",,,,,,,,,,,,,,
Data,7,stress_level,stress_level_time,"1093336860",s,stress_level_value,"-1",,unknown,"101",,unknown,"68",,unknown,"2",,,,,,,,,,,
Data,0,respiration_rate,timestamp,"1093336860",,respiration_rate,"0.0",breaths/min,,,,,,,,,,,,,,,,,,,
Data,7,stress_level,stress_level_time,"1093336920",s,stress_level_value,"-1",,unknown,"101",,unknown,"68",,unknown,"2",,,,,,,,,,,
Data,0,respiration_rate,timestamp,"1093336920",,respiration_rate,"0.0",breaths/min,,,,,,,,,,,,,,,,,,,
Data,7,stress_level,stress_level_time,"1093336980",s,stress_level_value,"-1",,unknown,"101",,unknown,"67",,unknown,"2",,,,,,,,,,,
Data,0,respiration_rate,timestamp,"1093336980",,respiration_rate,"0.0",breaths/min,,,,,,,,,,,,,,,,,,,
Data,7,stress_level,stress_level_time,"1093337040",s,stress_level_value,"-1",,unknown,"101",,unknown,"67",,unknown,"2",,,,,,,,,,,
Data,0,respiration_rate,timestamp,"1093337040",,respiration_rate,"0.0",breaths/min,,,,,,,,,,,,,,,,,,,
Data,7,stress_level,stress_level_time,"1093337100",s,stress_level_value,"-1",,unknown,"101",,unknown,"67",,unknown,"2",,,,,,,,,,,
Data,0,respiration_rate,timestamp,"1093337100",,respiration_rate,"0.0",breaths/min,,,,,,,,,,,,,,,,,,,
Data,7,stress_level,stress_level_time,"1093337160",s,stress_level_value,"-1",,unknown,"101",,unknown,"67",,unknown,"2",,,,,,,,,,,
Data,0,respiration_rate,timestamp,"1093337160",,respiration_rate,"0.0",breaths/min,,,,,,,,,,,,,,,,,,,
Data,7,stress_level,stress_level_time,"1093337220",s,stress_level_value,"-1",,unknown,"101",,unknown,"67",,unknown,"2",,,,,,,,,,,
Data,0,respiration_rate,timestamp,"1093337220",,respiration_rate,"0.0",breaths/min,,,,,,,,,,,,,,,,,,,
Data,7,stress_level,stress_level_time,"1093337280",s,stress_level_value,"-1",,unknown,"101",,unknown,"67",,unknown,"2",,,,,,,,,,,
Data,0,respiration_rate,timestamp,"1093337280",,respiration_rate,"0.0",breaths/min,,,,,,,,,,,,,,,,,,,
Data,7,stress_level,stress_level_time,"1093337340",s,stress_level_value,"-1",,unknown,"101",,unknown,"67",,unknown,"2",,,,,,,,,,,
Data,0,respiration_rate,timestamp,"1093337340",,respiration_rate,"0.0",breaths/min,,,,,,,,,,,,,,,,,,,
Definition,1,unknown,unknown,4,,,,,,,,,,,,,,,,,,,,,,,
Data,1,unknown,unknown,"88|0|0|224",,,,,,,,,,,,,,,,,,,,,,,
Data,1,unknown,unknown,"128|32|5|208",,,,,,,,,,,,,,,,,,,,,,,
Data,1,unknown,unknown,"2|149|1|208",,,,,,,,,,,,,,,,,,,,,,,
Data,4,monitoring,timestamp,"1093337340",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,,,,
Data,7,stress_level,stress_level_time,"1093337400",s,stress_level_value,"-1",,unknown,"101",,unknown,"67",,unknown,"2",,,,,,,,,,,
Data,0,respiration_rate,timestamp,"1093337400",,respiration_rate,"0.0",breaths/min,,,,,,,,,,,,,,,,,,,
Data,1,unknown,unknown,"10|0|0|200",,,,,,,,,,,,,,,,,,,,,,,
Data,7,stress_level,stress_level_time,"1093337460",s,stress_level_value,"-1",,unknown,"101",,unknown,"67",,unknown,"1",,,,,,,,,,,
Data,0,respiration_rate,timestamp,"1093337460",,respiration_rate,"-1.0",breaths/min,,,,,,,,,,,,,,,,,,,
Data,6,monitoring,timestamp_16,"372",s,heart_rate,"92",bpm,,,,,,,,,,,,,,,,,,,
Data,1,unknown,unknown,"40|0|0|248",,,,,,,,,,,,,,,,,,,,,,,
Definition,2,event,timestamp,1,,start_timestamp,1,,data16,1,,event,1,,event_type,1,,activity_type,1,,unknown,1,,,,,
Data,2,event,timestamp,"1093337520",s,auto_activity_detect_start_timestamp,"1093336440",s,data16,"3",,event,"54",,event_type,"3",,activity_type,"8",,auto_activity_detect_duration,"3",,,,,
Data,7,stress_level,stress_level_time,"1093337520",s,stress_level_value,"-2",,unknown,"102",,unknown,"67",,unknown,"1",,,,,,,,,,,
Data,0,respiration_rate,timestamp,"1093337520",,respiration_rate,"-1.0",breaths/min,,,,,,,,,,,,,,,,,,,
Data,6,monitoring,timestamp_16,"432",s,heart_rate,"104",bpm,,,,,,,,,,,,,,,,,,,
Definition,3,unknown,unknown,25,,,,,,,,,,,,,,,,,,,,,,,
Data,3,unknown,unknown,"176|1|43|65|2|2|32|95|98|6|253|66|0|0|0|3|0|253|253|253|253|253|1|15|118",,,,,,,,,,,,,,,,,,,,,,,
Data,3,unknown,unknown,"176|1|43|65|2|2|2|98|110|253|253|66|4|1|1|1|1|253|253|253|253|253|1|7|76",,,,,,,,,,,,,,,,,,,,,,,
Data,1,unknown,unknown,"138|255|255|255",,,,,,,,,,,,,,,,,,,,,,,
Data,3,unknown,unknown,"176|1|43|65|2|2|16|129|140|253|5|56|4|1|3|1|2|5|5|5|5|5|1|19|66",,,,,,,,,,,,,,,,,,,,,,,
Data,3,unknown,unknown,"224|1|43|65|2|2|1|149|149|5|5|56|0|0|0|0|0|5|5|5|5|5|1|20|117",,,,,,,,,,,,,,,,,,,,,,,
Definition,4,monitoring,descent,1,,unknown,1,,timestamp_16,1,,,,,,,,,,,,,,,,,
Data,4,monitoring,descent,"2.567",m,unknown,"2567",,timestamp_16,"432",s,,,,,,,,,,,,,,,,
Definition,5,monitoring,ascent,1,,unknown,1,,timestamp_16,1,,,,,,,,,,,,,,,,,
Data,5,monitoring,ascent,"2.39",m,unknown,"10061",,timestamp_16,"480",s,,,,,,,,,,,,,,,,
Data,7,stress_level,stress_level_time,"1093337580",s,stress_level_value,"-2",,unknown,"102",,unknown,"66",,unknown,"1",,,,,,,,,,,
Data,0,respiration_rate,timestamp,"1093337580",,respiration_rate,"-1.0",breaths/min,,,,,,,,,,,,,,,,,,,
